_c0,_c1
1537628400,1936917
1537632000,1854189
1537635600,1854582
1537639200,1881134
1537642800,1847484
1537646400,1827402
1537650000,1772238
1537653600,1623297
1537657200,1667918
1537660800,1602791
1537664400,1563705
1537668000,1796242
1537671600,1672023
1537675200,1749904
1537678800,1650421
1537682400,1689298
1537686000,1751782
1537689600,1886634
1537693200,1973026
1537696800,1975463
1537700400,1879935
1537704000,1833222
1537707600,1990238
1537711200,2002359
1537714800,1941577
1537718400,1896635
1537722000,1885403
1537725600,2136636
1537729200,2141616
1537732800,2124248
1537736400,2002476
1537740000,1686633
1537743600,1555850
1537747200,1547985
1537750800,1629435
1537754400,1754631
1537758000,1619964
1537761600,1710964
1537765200,1705239
1537768800,1751739
1537772400,1882404
1537776000,1854374
1537779600,1808014
1537783200,2038046
1537786800,1775987
1537790400,1893008
1537794000,1901109
1537797600,2051304
1537801200,2020157
1537804800,2000150
1537808400,1934030
1537812000,2032675
1537815600,2004877
1537819200,2050427
1537822800,1815684
1537826400,1690472
1537830000,1701562
1537833600,1672895
1537837200,1527914
1537840800,1333317
1537844400,1408715
1537848000,1660305
1537851600,1629420
1537855200,1792194
1537858800,1759925
1537862400,1726298
1537866000,1804144
1537869600,1848163
1537873200,1781661
1537876800,1890928
1537880400,1944959
1537884000,2041575
1537887600,1981974
1537891200,1944865
1537894800,1914539
1537898400,1909798
1537902000,1918504
1537905600,1811751
1537909200,1735275
1537912800,1775315
1537916400,1727608
1537920000,1657392
1537923600,1745428
1537927200,1722393
1537930800,1701900
1537934400,1683822
1537938000,1709786
1537941600,1819446
1537945200,1920668
1537948800,1911221
1537952400,1746802
1537956000,1828423
1537959600,1775194
1537963200,1895077
1537966800,2048788
1537970400,2231301
1537974000,2082854
1537977600,1982713
1537981200,2010668
1537984800,1984933
1537988400,1984389
1537992000,1935517
1537995600,1713046
1537999200,1656778
1538002800,1580099
1538006400,1557242
1538010000,1557639
1538013600,1571414
1538017200,1546804
1538020800,1483520
1538024400,1576184
1538028000,1637123
1538031600,1735072
1538035200,1855325
1538038800,1882249
1538042400,1883303
1538046000,1777121
1538049600,1821753
1538053200,1883618
1538056800,2021025
1538060400,2167573
1538064000,2066271
1538067600,1912930
1538071200,2064452
1538074800,2028620
